se2,se4,se5,se9,se3a,q8,q9,q12,q13,q6,q93,q130,q5,q38,q40,q108,q110,q124,q126,q128,q32,q48,q49,q94,q103,q104,country
2.0,2.0,7.0,5.0,40.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,Japan
2.0,2.0,8.0,1.0,53.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,Japan
2.0,2.0,9.0,5.0,40.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,Japan
2.0,4.0,8.0,2.0,64.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,Japan
1.0,2.0,8.0,3.0,65.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,Japan
1.0,2.0,9.0,4.0,36.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,Japan
1.0,2.0,8.0,1.0,69.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,Japan
2.0,2.0,7.0,5.0,47.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,Japan
2.0,2.0,7.0,5.0,48.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,Japan
2.0,1.0,8.0,4.0,29.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,Japan
